text,category,priority
How can I check the status of my financial aid application?,Finance,Low
I would like to inquire about the possibility of living in the honors dorms for the next academic year.,Housing,Low
I am locked out of the science lab and my experiment requires cooling every 2 hours or the samples will be lost.,Academic,High
I need to know the requirements for the study abroad program in London for next fall.,Academic,Low
I am a prospective student and I'm confused about the application requirements for the fine arts program.,Admissions,Low
I require an official transcript to apply for a job.,Administration,Medium
The university's network is down and I cannot access my files for my final presentation that starts in 30 minutes. Please fix it now!,Technical,High
How can I check the status of my graduation application?,Administration,Low
The lock on my dorm room is broken and I can't leave my valuables inside because I can't lock the door.,Housing,High
There is a massive electrical fire in the basement of the dorm. The smoke is filling the upper floors.,Housing,High
idk how to cite a tiktok video for my sociology paper... does the library have a guide for that? pls let me know.,Library,Low
exam registration submission failing with deadline approaching,Academic,High
i'm tryin to find the library's policy on borrowing laptops for the weekend. can i take one home if i sign a waiver?,Library,Medium
finance office scholarship eligibility inquiry,Finance,Medium
"Tuition portal issue, payment stuck.",Finance,High
I'm looking for the university policy on poster placement. i want to put up flyers for my new club next week. no rush.,Administration,Low
"Tuition statement incorrect, need help ASAP.",Finance,High
hi i was sick for my mid term yesterday and i have a doctor note. how do i reschedule it?,Academic,Medium
application documents missing just before submission deadline,Admissions,High
I'm having trouble with the online portal for my student cloud computing request account setup.,Technical,Medium
dorm bulletin board posting rules,Housing,Low
my roommate is very loud and i can't study. can i get a single room?,Housing,Low
my name is misspelled on my final graduation certificate. i need this fixed today so it's ready for the ceremony tomorrow.,Administration,High
HOW DO I PRINT STUFF???? I NEED TO PRINT MY ASSIGNMENT NOW NOW NOW!!!!!!!!,Library,Medium
invoice shows pending fee that was paid,Finance,Medium
i'm tryin to find the official university policy on academic integrity. is it in the handbook or on the student website?,Administration,Medium
transcript delivery delayed without notification,Administration,Medium
tuition portal down and payment due today,Finance,High
I noticed an overcharge of $150 on my account for a 'Health Insurance Fee' even though I submitted my waiver last month.,Finance,Medium
I'm having trouble with the library's online chat service for research assistance.,Library,Low
I'd like to request a change of major. Who should I contact to start the process?,Academic,Medium
Official transcript request for scholarship submission.,Administration,Low
i need my official transcripts sent to the embassy by tomorrow morning or my student visa will be denied.,Administration,High
my diploma has the wrong major printed on it and i need the corrected version for my job start on monday morning.,Administration,High
Someone in my dorm is having a loud party and it's late at night. can someone please help?,Housing,Medium
tuition miscalculated and due immediately,Finance,High
I would like to know the criteria for the dean's list for the social science major students.,Academic,Low
i am calm but i need to report that my bank transfer for the full tuition amount was sent to the wrong university account and the late fee deadline is today.,Finance,High
Could you provide the historical tuition rates for the year 1995? I am writing a paper on educational inflation.,Finance,Low
I AM SO UPSET!! MY REFUND WAS SENT TO THE WRONG BANK ACCOUNT BECAUSE OF A TYPO IN YOUR SYSTEM!! I NEED THAT MONEY FOR RENT!!,Finance,Medium
i'm tryin to figure out how to get a student discount for the local bus pass. do i need a form from the registrar or the student union?,Administration,Low
idk how to find my student id number. i need it to log into the housing portal. help?,Technical,Low
I would like to request a copy of the university's policy on use of university facilities.,Administration,Low
I'm having trouble with the online course registration. It says I don't have the prerequisites for a class I already took.,Academic,Medium
uploaded transcripts not marked as received,Admissions,Medium
Someone in my dorm is smoking in their room. It's against the rules and it's affecting my health.,Housing,Medium
The door to the study room in the basement of the library is jammed and won't lock from the inside.,Library,Medium
hey can i get a new mattress for my dorm? this one is really uncomfortable and my back hurts every morning.,Housing,Medium
the sink in room 302 is totally overflowin and there's water everywhere in the hall. pls send someone now.,Housing,High
I am getting an error code 403 when trying to access the library's digital resources from off-campus.,Library,Medium
i need to report that my password was changed without permission and i cannot access my final project.,Technical,High
I noticed that the carpet in my dorm room is coming up at the edges. It's a bit of a tripping hazard.,Housing,Low
where to request transcript?,Administration,Low
my window was smashed from the outside and i am on the ground floor. i dont feel safe sleeping here tonight.,Housing,High
The library's main database is down and I cannot access the sources for my bar exam preparation which is in two days.,Library,High
Portal crashed submitting homework.,Technical,High
My student ID works for the library but won't open the door to the 24-hour computer lab. Can you check my permissions?,Technical,Medium
"the university's background check service is reporting that i have a criminal record, which is a complete error. i will lose my job offer tonight.",Administration,High
hi id like to know if the admissions office has any spare tote bags from the open house last month?,Admissions,Low
the financial aid portal is returning a 500 server error and the deadline for my tuition waiver is in one hour. i've tried three browsers.,Technical,High
"The bursar's office is showing a $1,000 late fee on my account even though i paid early. registration for graduation is today.",Finance,High
The library's digital book reader app is crashing every time I try to open my assigned reading for English 101.,Library,Medium
HELP ASAP!! I THINK THE LIBRARY LIBRARIAN LOST MY RESERVED BOOK!! I NEED IT TO STUDY FOR MY FINALS NEXT WEEK I AM DYING!!,Library,Medium
I'M SO STRESSED!! I SUBMITTED MY APPLICATION 5 MINUTES AFTER THE DEADLINE BECAUSE THE SITE CRASHED!! WILL I BE CONSIDERED??,Admissions,Medium
i am having trouble with my university email account. i'm not receiving any emails from my professors.,Technical,High
"I would like to request an official transcript for my internship application, but there is no rush as the deadline is in three weeks.",Academic,Low
application portal resets form inputs unexpectedly,Admissions,Medium
the system crashed while i was clicking submit for my final thesis. the deadline was 2 minutes ago. check the logs please.,Technical,High
OMG SOMEONE HELP I LOST MY FAVORITE SCARF NEAR THE CAFETERIA PLEASE TELL ME IF ANYONE FOUND IT IT WAS A GIFT FROM MY GRANNY!!!!!,Administration,Low
The university's system for processing graduation clearances is down and i need my verification for a job starting tomorrow morning at 9am.,Administration,High
Is there a specific form I need to fill out if I want to live in the graduate student housing next year?,Housing,Low
I smell something burning in the wall behind my radiator. The wall is hot to the touch.,Housing,High
hello i need to know if the library has the latest version of the apa manual im very worried about my bibliography please let me know right away!!!!!,Library,Low
System crashed while submitting homework.,Technical,High
I'm having a hard time logging into the library's remote database from off-campus. It keeps saying my credentials are invalid.,Library,Medium
my financial aid refund check was stolen from my mailbox and i need to stop payment on it before it is cashed tonight.,Finance,High
I REALLY NEED TO KNOW RIGHT NOW IF THE CAFETERIA IS GOING TO HAVE TACOS NEXT TUESDAY OR I WILL DIE!!!,Administration,Low
"The university's portal for study abroad applications is showing a 'database connection error' for all students today, and the deadline is in 4 hours.",Admissions,High
"hey, is there any way to get a list of all the alumni who work in the fashion industry? no rush.",Admissions,Low
I am writing to request a formal investigation into a grade I received. I believe there has been a calculation error in my final physics average.,Academic,Medium
I need help with my application for a student scholarship for students in computer science.,Finance,Low
finance office payment plan clarification,Finance,Medium
Portal crashed submitting assignment today.,Technical,High
student housing maintenance ticket partially acknowledged,Housing,Medium
I noticed that the printer in the study lounge is out of toner. Can someone please come and replace the cartridge today?,Technical,Low
I'm having trouble with the library's citation manager software. It keeps crashing on my Mac.,Library,Medium
the vpn is down and i need to access the library database for my history project due in 4 hours.,Technical,High
i'm tryin to find out if i can get a copy of my official transcript sent to my home address for my records?,Academic,Medium
The university website is down and I am trying to pay my graduation fee before the 5 PM deadline today.,Technical,High
I'm having trouble with the library's online book request system. It keeps giving me an error message.,Library,Low
Could you please investigate why I was charged a 'Late Registration Fee' when I registered on the very first day?,Finance,Medium
library account issue partially resolved,Library,Medium
I am having trouble finding a specific research paper in the university's digital archives. Could someone help me?,Library,Low
"The course registration portal is down for maintenance, but my enrollment window expires in 30 minutes. Please assist.",Technical,High
I noticed an error in my transcript. it says i failed a class that i actually got an A in. I need this fixed for my graduation check next week.,Academic,High
i cant get the wifi to work on my nintendo switch in the dorms. it says the security settings aren't supported.,Technical,Low
I'm having trouble with the library's online reservation system for study rooms.,Library,Low
my student loan check was sent to my home address instead of my dorm. i need to redirect it so i can pay my rent tomorrow.,Finance,High
The system for submitting letters of recommendation is down and the deadline is in three hours. My professor is waiting.,Admissions,High
I AM LITERALLY IN TEARS BECAUSE I DONT KNOW IF THE ADMISSIONS OFFICE HAS A RECYCLING BIN FOR CARDBOARD!!!,Admissions,Low
The university's system for submitting graduate school applications is down and the deadline is in four hours.,Admissions,High
The university website is displaying my social security number on the student profile page. This is a severe breach.,Administration,High
can u help me find the link for the online application for the study abroad program? thx.,Admissions,Medium
system froze during file upload just before deadline,Technical,High
pls update dorm maintenance ticket,Housing,Medium
I'm having trouble with the shower in my dorm. The water pressure is very low.,Housing,Medium
I would like to request a copy of the university's policy on chemical safety.,Academic,Low
application page duplicates entries after refresh,Admissions,Medium
i'm having trouble with the university's vpn on my windows laptop it keeps saying connection failed for no reason.,Technical,Medium
I am unable to log in to the student health portal to confirm my emergency appointment for tomorrow.,Technical,High
"Hello, I noticed a discrepancy in my tuition bill regarding the lab fees for my Chemistry course. It appears I was charged twice.",Finance,Medium
invoice shows duplicate charge line,Finance,Medium
I would like to inquire about the different types of housing available for married students.,Housing,Low
"Login failed, MFA missing.",Technical,High
MFA not sending code cannot login before submission,Technical,High
Is there a specific form I need to fill out if I want to audit a class as a non-degree seeking student?,Admissions,Low
i need to report a broken window in the common room. someone threw a ball through it.,Housing,Medium
I AM ABSOLUTELY LIVID!! The software license for SPSS is expired on my laptop and I have a lab report due in 4 days!!!,Technical,Medium
tuition miscalculated and must fix today,Finance,High
i want to know the hours of the university's bookstore. are they open on saturdays? thx.,Admissions,Low
hey id like to know if the university provides certificates for participation in the student leadership workshop. no rush.,Administration,Low
I would like to inquire about the university's policy for student travel grants for research.,Academic,Low
i'm tryin to figure out if i can get a discount on my meal plan bc i realized i dont eat breakfast. thx.,Finance,Medium
The microwave in the dorm kitchen smells like smoke when I turn it on. I think it�s a fire hazard.,Housing,High
I AM IN TEARS!! MY NEW ROOMMATE HAS A CAT AND I AM EXTREMELY ALLERGIC BUT THE HOUSING OFFICE ISN'T PICKING UP!!,Housing,Medium
payment failed and blocks registration today,Finance,High
PLEASE!!!!!! I NEED TO KNOW IF I CAN GET A REFUND FOR MY PARKING PASS I DON'T HAVE A CAR ANYMORE!!!!!!! PLEASE HELP!!!!!!,Finance,Low
The ceiling in the campus administrative building is leaking onto the server racks in the basement. We need a team there now.,Technical,High
PLEASE HELP ME I CANT FIND THE LINK TO THE CAMPUS MAP AND I AM LITERALLY SO LOST AND CRYING RIGHT NOW HELP!!!!!!!!!!,Admissions,Low
I'm having trouble with the heating in the library's computer lab. It's very hot.,Library,Low
The portal for international health records is rejecting my vaccine card. the deadline is tonight at midnight sharp. i am calm.,Admissions,High
I received an acceptance letter but the link to the enrollment portal is not working. The deadline to accept is in 12 hours.,Admissions,High
room door lock jammed and cant enter at night,Housing,High
I have been waiting for two weeks for my student work-study contract to be processed. I really need to start my shifts.,Finance,Medium
course registration shows outdated availability intermittently,Academic,Medium
OH MY GOD!! I JUST SAW MY BILL AND IT SAYS I OWE $2000 FOR A HOUSING DEPOSIT I ALREADY SENT BY WIRE!! CHECK YOUR RECORDS!!,Finance,Medium
I am calm but my financial aid refund was sent to a bank account i closed last year. I need this corrected to pay my rent by tomorrow.,Finance,High
I CANT FIND MY ADMISSIONS INTERVIEW LINK AND IT STARTS IN FIVE MINUTES HELP ME NOW!!!!!!!,Admissions,Medium
is there any way to change my major from art to engineering? i've decided that i want to build things instead.,Academic,Medium
I am an international student and I'm confused about the tuition payment options for wire transfers from South Korea.,Finance,Medium
The lock on my dorm room door is broken and i cannot get out. i have a medical appointment in 20 minutes. very calm.,Housing,High
I am unable to access the VPN and I have a project due on the secure server in 3 hours. I need access restored.,Technical,High
My transcript is being held for a library book I returned. I have the receipt. I need the transcript for a deadline in 5 hours.,Academic,High
I am an international student and I'm having trouble with the visa application process. I need an updated I-20 by tomorrow to keep my appointment.,Admissions,High
the lock on the main entrance to the dorm building is broken and it won't lock at all tonight. this seems like a security risk.,Housing,High
The student health center is closed today. Is there an after-hours nurse line I can call?,Administration,Medium
PLEASE RESPOND ASAP I NEED TO KNOW IF I CAN BRING MY CAT TO THE DORM IF I HAVE A DOCTORS NOTE FOR EMOTIONAL SUPPORT!!!!!!!,Housing,Medium
"hi, i want to know if there r any clubs for people who like vintage typewriters? idk where to look.",Administration,Low
hi id like to know the policy for reserving a study room for a group project next month. no rush.,Library,Low
Admissions: My scholarship award letter disappeared from the portal. I need it to secure my visa by tomorrow morning.,Admissions,High
i am at the pharmacy and my student health insurance is showing as 'Cancelled'. i need my heart medication right now.,Finance,High
Who is responsible for the upkeep of the campus sundial near the library? It looks slightly off.,Administration,Low
i am calm but my student visa i-20 form was mailed with the wrong birthdate and my embassy interview is tomorrow morning.,Admissions,High
admissions document verification delayed,Admissions,Medium
Are there any student positions available at the campus cafeteria for the winter term?,Administration,Low
need urgent enrollment certificate today for embassy,Administration,High
Can I get a list of all the student organizations that are focused on diversity and inclusion?,Administration,Low
PLEASE HELP ME!!!!!!!! I CANT FIND MY STUDENT ID CARD AND I NEED IT TO GET INTO THE DINING HALL I AM SO HUNGRY!!!!!!!,Technical,Medium
i have a question about the university's transfer policy. will my credits from my old school count?,Admissions,Low
"Regarding my application for the fall semester, I have updated my phone number. Please update your records.",Admissions,Low
"dorm window stuck, pls advise maintenance",Housing,Medium
The software 'EndNote' is not working correctly on the library loaner laptops. It keeps crashing when I open it.,Technical,Medium
dorm common area WiFi signal inquiry,Housing,Low
admission interview scheduling clarification,Admissions,Medium
billing summary unclear after recent payment,Finance,Medium
The bathroom light switch in my dorm is broken.,Housing,Medium
the application portal for the doctoral program is closing in 15 minutes and it won't let me upload my final research proposal.,Admissions,High
MY MFA TOKEN EXPIRED AND I HAVE AN ONLINE EXAM STARTING IN 10 MINUTES!!!! PLEASE RESET IT ASAP!!!!!,Technical,High
Can someone tell me if the campus gym is open on Labor Day? I need to know before I walk all the way over there.,Administration,Low
heater weak in dorm room,Housing,Medium
can i get a library card for my spouse?,Library,Low
I am calm but my graduation status has been revoked due to a missing administrative fee that I paid last month. Commencement is tomorrow.,Administration,High
I am an international student and I'm confused about the health insurance waiver process and deadlines.,Administration,Medium
I am writing to inquire about the possibility of deferring my enrollment to the fall semester due to personal reasons. Thank you.,Admissions,Medium
invoice breakdown confusing to understand,Finance,Medium
Official transcript for visa needed.,Administration,Medium
I would like to request a change of advisor because my current advisor is never available.,Academic,Medium
The ceiling in the common room is sagging significantly and there is a large wet spot. It looks like it will fall soon.,Housing,High
The light in my dorm hallway is flickering and it's making it hard to walk at night.,Housing,Low
I am writing to respectfully inform you that the heater in my dorm is emitting smoke. I have evacuated and am waiting for a response at the front desk.,Housing,High
To the Admissions Office: My high school transcript was flagged as 'Incomplete' despite it being final. I will be de-enrolled tonight if not fixed.,Admissions,High
the lock on the main entrance to the dorm is broken and it won't lock at all tonight. we need a locksmith.,Housing,High
hi id like to know the policy on bringing a goldfish to the dorms? my mom wants to buy me one for my bday.,Housing,Low
dorm heater not heating enough,Housing,Medium
I cannot access my virtual machine for my systems class. The final lab is due in 6 hours and it's 20% of my grade.,Technical,High
"hi, can u tell me the average weight of the desks in the dorms? i'm trying to decide if i should bring my own chair.",Housing,Low
I need help with my application for a student grant for undergraduate research.,Academic,Low
session timeout happens too frequently on portal,Technical,Medium
I'm having trouble with the library's online search for government publications.,Library,Low
Grades missing in portal.,Academic,High
PLEASE HELP ME I THINK I LEFT MY PURSE IN THE LIBRARY AND I HAVE NO MONEY TO GET HOME PLEASE LOOK FOR IT NOW!!!!!!!,Library,Medium
I am an international applicant and I'm having trouble with the document upload feature on the university's application portal.,Admissions,Medium
i'm having trouble with the university's email on my android phone. it is not syncing any messages from my advisor.,Technical,Medium
is there any way to change my major from art to engineering? i've decided that i want to build things.,Academic,Medium
"I received an email stating my application was incomplete because of a missing letter of recommendation, but my professor sent it last week.",Admissions,Medium
i need to update my social security number on my file because it was entered incorrectly during the application.,Administration,Medium
URGENT!!!!! I NEED TO KNOW IF THE LIBRARY IS OPEN ON THE FOURTH OF JULY PLS PLS PLS PLS RESPOND!!!!!!!,Library,Low
There is a massive flood in the student housing basement and the laundry room is completely under water.,Housing,High
wardrobe door slightly misaligned in dorm,Housing,Medium
My dorm room door lock is malfunctioning and I am currently trapped inside my room. I have an exam starting in 15 minutes.,Housing,High
status says pending though docs uploaded,Admissions,Medium
i want to apply for a student job in the library. where can i find the application form?,Library,Low
hello i'm realy sorry to bother u but could u please tell me if the library has any staplers on the 3rd floor?? i need one for my essay next week thx!!,Library,Low
Dorm faucet dripping water.,Housing,Medium
grade submission fails repeatedly before cutoff,Academic,High
Just a quick note to say that I really appreciate the new coffee machine in the lobby. It's great!,Administration,Low
library info on study space availability,Library,Low
I'm having trouble with the air conditioning in the library. It's very cold and I'm having trouble concentrating.,Library,Low
What are the requirements for applying for a summer internship through the university's career center?,Administration,Low
I'm having trouble with the library's online search for historical maps and charts.,Library,Low
Are there any plans to install more bike racks near the finance building in the next few years?,Finance,Low
I am an international student and my health insurance is showing as active but I was charged for a new policy on my tuition bill.,Finance,Medium
I would like to know the policy for hosting guests in the student dormitories during the weekend.,Housing,Low
I'm locked out of my dorm and my insulin is inside. I need someone to let me in now.,Housing,High
hi i lost my id card and need a new one b4 next week exams. thx.,Administration,Medium
is there any way to waive the student activity fee since i am taking all my classes online?,Finance,Medium
The lock on my dorm room window is broken and anyone could climb in from the fire escape. I am currently waiting in my room for maintenance.,Housing,High
"hi, do the dorms come with mirrors or should i buy one myself? thx.",Housing,Low
ID card not working and exam starts soon,Administration,High
"The bursar's office is showing a $0 balance for my account, but i know i owe $5,000 for tuition. i don't want to be penalized for their error later.",Finance,High
dorm keycard access issue,Housing,Medium
The university's system for processing graduation clearances is down and i need my verification for a job starting tomorrow.,Administration,High
I have been locked out of my student email account. I have a job interview via Zoom via a link in that email in 30 minutes.,Technical,High
admission application correction guidance,Admissions,Medium
i am calm but i need to report that my graduation certificate has my name spelled wrong and i need the corrected version for my visa interview tomorrow morning at 8am.,Administration,High
I am calm but the sink in my dorm is overflowing and the water is reaching the electrical outlets. i need maintenance.,Housing,High
I would like to know if my high school's counselor recommendation was received. It's the last item on my checklist.,Admissions,Medium
"the scholarship application requires a signature from your office, and the window closes in 4 hours. i am currently at the front desk.",Finance,High
URGENT!!!!! I ACCIDENTALLY EMAILED MY PROFESSOR A PICTURE OF MY CAT INSTEAD OF MY HOMEWORK PLS DELETE IT NOW!!!!!!,Technical,Low
I am a prospective student from France. Do I need to translate my high school transcripts?,Admissions,Low
exam guidelines clarification needed,Academic,Medium
the carpet in the study lounge has a huge wet spot that has been there for days. it looks like a leak from the ceiling.,Housing,Medium
Does the library have a collection of board games that students can borrow for the weekend?,Library,Low
"my financial aid was reduced by $5,000 today without notice. i have no way to pay the remaining balance due tomorrow.",Finance,High
My roommate is keeping a lizard in our room without permission and I'm worried about it escaping.,Housing,Low
library book recommendation request,Library,Low
There is a massive leak in the student housing bathroom and the water is dripping into the ceiling of the floor directly below.,Housing,High
dorm furniture repair request,Housing,Medium
Official degree confirmation letter needed.,Administration,Medium
I would like to request a copy of the university's policy on drug and alcohol use.,Administration,Low
The ceiling in my dorm room is leaking and it's getting on my bed.,Housing,High
I am having a problem with the VPN software. It won't connect and I need to access the research database for my paper.,Technical,Medium
hey can u check the balance of my flex points? i think it might be wrong. thx.,Finance,Medium
i'm unable to access the online library resources while i'm off-campus. it keeps asking for a login that doesn't work.,Library,Medium
I am reporting a breach. I can see the financial records of other students when I log into my billing portal.,Technical,High
I would like to know the criteria for the dean's list for the engineering major.,Academic,Low
PLEASE HELP ME I THINK I LEFT MY GLASSES IN THE STUDY HALL AND I CANT SEE ANYTHING TO DO MY HOMEWORK PLS PLS PLS!!!!!,Library,Medium
Are there any plans to change the color of the student id cards for the 2030 class?,Administration,Low
I would like to request a copy of the university's diversity and inclusion statement.,Administration,Low
The bath mat in my dorm bathroom is old.,Housing,Low
The university's system for submitting health insurance waivers is offline. I'd like to try again tomorrow.,Finance,Medium
The radiator in my dorm room is making a loud banging noise.,Housing,Low
i want to know if the library has any group study rooms available for today.,Library,Low
MY COMPUTER IS MAKING A WEIRD HUMMING NOISE AND I AM SCARED IT WILL EXPLODE HELP ME!!!!!!,Technical,Low
I would like to know the deadline for applying for a student ambassador position.,Admissions,Low
The campus safety sirens are going off but there's no alert on the portal. Is there an active threat we need to know about?,Administration,High
I would like to report that the university's data breach has exposed my personal banking details. I need an immediate account freeze.,Administration,High
I noticed a significant leak in the roof of the rare books section of the library. It's currently raining and some manuscripts might be at risk.,Library,High
I would like to request a copy of the university's policy on student financial aid from the finance office.,Finance,Low
window in dorm room does not close fully,Housing,Medium
I'm extremely upset!! My grade for the midterm is still not appearing on the portal and I need to know it NOW or I will lose my mind!!,Academic,Medium
my immigration documents were signed by the wrong officer and the border agent is holding me. i need a new signature right now.,Admissions,High
my graduation application was denied because of a typo in my student ID. i need to talk to someone before the ceremony on saturday.,Academic,High
The graduation application portal is rejecting my final credits even though my advisor approved them. The window for May graduation closes in 2 hours.,Academic,High
hi i need a copy of my 1098-T for my taxes. where do i find it?,Finance,Medium
idk how to find the course syllabus for my history class on the new portal. can someone help me locate it?,Academic,Low
PLEASE RESPOND ASAP I NEED TO KNOW IF I CAN USE THE UNIVERSITY'S GYM IF I AM ONLY TAKING ONE CLASS!!!!!!!,Admissions,Low
"hi, can u tell me if the IT department has any old mouse pads they r giving away? thx.",Technical,Low
"Forgot MFA, portal inaccessible.",Technical,High
I would like to request a new bookshelf for my dorm room because my current one is very full.,Housing,Low
I'm trying to renew my books online but it says I've reached the maximum number of renewals. Can I get a one-time exception?,Library,Medium
Need official transcript for visa purposes.,Administration,Medium
The projector in Room 305 is very dim and it's impossible to see the slides during our morning lecture.,Technical,Medium
can u tell me if the library has any books on the philosophy of science for my paper due next week? thx.,Library,Low
The lock on my dorm door is getting stuck. It takes 5 or 6 tries with the keycard before it finally clicks open.,Housing,Medium
"The window in room 205 doesn't close all the way, and there's a draft coming in. Can maintenance fix the latch?",Housing,Medium
i want to know if i can use the library printers from my personal laptop or if i have to use the desktop computers there. no hurry.,Library,Low
My scholarship funds haven't been applied to my account yet and I have a hold on my registration. Classes start tomorrow.,Finance,High
The university's system for processing transcript requests is down and i need mine for my job application due in 3 hours. Please help.,Academic,High
tuition miscalculated and immediate correction required today,Finance,High
i just received an email saying my admission has been rescinded due to a missing document that i know was sent. please fix this!!,Admissions,High
I'm interested in the university's graduate program in computer science. What are the admissions requirements?,Admissions,Low
how to sign up for optional academic seminars,Academic,Low
I am having trouble with the online payment system for the tuition fee. It keeps giving me an error message.,Finance,Medium
the heater in my room is making a very loud clicking sound and i cannot sleep. it has been happening for three nights.,Housing,Medium
my dorm room has a bedbug infestation and i am currently covered in bites. i need to be moved to a clean room immediately.,Housing,High
"I need help with my application for a student internship in Washington, D.C.",Academic,Low
I need help with my application for a student scholarship for students in the life sciences.,Finance,Low
I would like to inquire about the university's policy for student internships and university credits.,Academic,Low
application docs disappeared before submission deadline,Admissions,High
hey does the library have any copies of the book 'the great gatsby'? i need it for my class tomorrow.,Library,Medium
hi i cant login to the lms and my final exam starts in 10 mins pls help!!,Technical,High
dorm AC not working properly,Housing,Medium
I noticed that the light in the library stairwell is flickering and it's making me feel a bit nauseous.,Library,Low
the professor for bio 201 has not uploaded the grade for my midterm and it's been three weeks. can you check on this?,Academic,Medium
I'm having trouble with the online portal for my student parking permit application.,Administration,Low
I am a prospective student and I'm confused about the application requirements for the nursing program.,Admissions,Low
i need to talk to someone about my grade in math. i think the professor made a mistake on my final.,Academic,Medium
idk how to register for a parking pass for the next semester. can u help?,Housing,Low
I'm a little concerned because my scholarship funds haven't been applied to my account yet and classes start tomorrow morning.,Finance,High
I would like to inquire about the possibility of living in the student apartments for the next academic year.,Housing,Low
i'm having trouble with the library's citation manager; it won't let me export my bibliography in apa format.,Library,Medium
I am an international applicant and I haven't received my acceptance letter yet. My portal says it was mailed two weeks ago.,Admissions,Medium
hi can i pay the $50 lab fee with cash or does it have to be online?,Finance,Low
I would like to know the deadline for applying for a student teaching assistant position.,Academic,Low
